Epoch 0/199
----------
model_train
326/3126,train_loss:20.916881561279297
327/3126,train_loss:20.233526229858398
328/3126,train_loss:20.703664779663086
329/3126,train_loss:20.672187805175781
330/3126,train_loss:20.272474288940430
331/3126,train_loss:20.079118728637695
332/3126,train_loss:20.198947906494141
333/3126,train_loss:21.240358352661133
334/3126,train_loss:20.521718978881836
335/3126,train_loss:20.327495574951172
336/3126,train_loss:20.838020324707031
337/3126,train_loss:20.234943389892578
338/3126,train_loss:20.347946166992188
339/3126,train_loss:19.843055725097656
340/3126,train_loss:20.486175537109375
341/3126,train_loss:20.027652740478516
342/3126,train_loss:20.321878433227539
343/3126,train_loss:20.100381851196289
344/3126,train_loss:20.298288345336914
345/3126,train_loss:20.319339752197266
346/3126,train_loss:19.499414443969727
347/3126,train_loss:19.860532760620117
348/3126,train_loss:20.087398529052734
349/3126,train_loss:20.076389312744141
350/3126,train_loss:19.279087066650391
351/3126,train_loss:20.116643905639648
352/3126,train_loss:20.189683914184570
353/3126,train_loss:19.858932495117188
354/3126,train_loss:19.689216613769531
355/3126,train_loss:20.044492721557617
356/3126,train_loss:19.753904342651367
357/3126,train_loss:20.847669601440430
358/3126,train_loss:19.500591278076172
359/3126,train_loss:20.596942901611328
360/3126,train_loss:20.435689926147461
361/3126,train_loss:19.884233474731445
362/3126,train_loss:20.656925201416016
363/3126,train_loss:20.303203582763672
364/3126,train_loss:19.734361648559570
365/3126,train_loss:19.950065612792969
366/3126,train_loss:20.308197021484375
367/3126,train_loss:20.213451385498047
368/3126,train_loss:19.786479949951172
369/3126,train_loss:19.511678695678711
370/3126,train_loss:20.113470077514648
371/3126,train_loss:20.576904296875000
372/3126,train_loss:20.486639022827148
373/3126,train_loss:19.809209823608398
374/3126,train_loss:20.417737960815430
375/3126,train_loss:20.750730514526367
376/3126,train_loss:19.554122924804688
377/3126,train_loss:20.191616058349609
378/3126,train_loss:19.612844467163086
379/3126,train_loss:19.492937088012695
380/3126,train_loss:19.844903945922852
381/3126,train_loss:19.516508102416992
382/3126,train_loss:19.491724014282227
383/3126,train_loss:20.730743408203125
384/3126,train_loss:19.166139602661133
385/3126,train_loss:20.292430877685547
386/3126,train_loss:19.890813827514648
387/3126,train_loss:19.812864303588867
388/3126,train_loss:19.580152511596680
389/3126,train_loss:19.486392974853516
390/3126,train_loss:19.411247253417969
391/3126,train_loss:19.834964752197266
392/3126,train_loss:20.227577209472656
393/3126,train_loss:19.301300048828125
394/3126,train_loss:19.211528778076172
395/3126,train_loss:19.525899887084961
396/3126,train_loss:20.900630950927734
397/3126,train_loss:19.678153991699219
398/3126,train_loss:20.173995971679688
399/3126,train_loss:20.044057846069336
400/3126,train_loss:19.554759979248047
401/3126,train_loss:19.823326110839844
402/3126,train_loss:20.093858718872070
403/3126,train_loss:20.058786392211914
404/3126,train_loss:20.086872100830078
405/3126,train_loss:19.806102752685547
406/3126,train_loss:20.426019668579102
407/3126,train_loss:19.387416839599609
408/3126,train_loss:19.596740722656250
409/3126,train_loss:19.556692123413086
410/3126,train_loss:20.192937850952148
411/3126,train_loss:19.998594284057617
412/3126,train_loss:20.690790176391602
